contest_number,questions,caption_choices,label,,,,,,,
115,['Why is the man at the bar wearing a hazmat suit?'],"A) He won't last long.
B) It's not disturbing until someone wants to buy them by the ounce.
C) Oh honey look, it's your inflated ego
D) We've been struggling to enlist millenials.
E) Trust me, background radiation—it's the new secondhand smoke.",E,,,,,,,
597,['Did boy decide to hide in the suitcase?'],"A) A friendly gesture can make first contact go a lot better.
B) We are going to go with Noah, but thanks.
C) I'm not comfortable discussing that in front of my fish.
D) Actually, I did leave my bag unattended for a few minutes. Why?
E) This new M.B.A. crop is so hard to break.",D,,,,,,,
660,"['What is the doctor diagnosing the king with?', 'Why is the king seeing a regular doctor?']","A) Well maybe once, back in clown college.
B) Yeah, I know. But who changes careers at my age?
C) The robe is supposed to open in the back.
D) A strike sends us home early.
E) Our chef trained at the Paris Metro.",C,,,,,,,
427,"['How did the man get the zombies to eat cookies?', 'What type of cookies did he bake?']","A) It's just the wind.
B) I like that we’re not trapped in traditional gender roles.
C) We have them between all tables, it encourages social distancing.
D) Sharks are biting on gabardine today. Polyester should be O.K.
E) Yes he's still out there...and he looks serious.",B,,,,,,,
446,"['Why are people seated at stoves instead of tables and cooking their own food?', 'What is the man in the background saying?']","A) Put it down slowly, the mothers are very protective of their young
B) Free will is overrated.
C) Worst internship ever.
D) I'm allergic to down.
E) The sign said home style cooking.",E,,,,,,,
702,"[""Why is the bird in the man's hair?""]","A) I think it's just a phase.
B) I only like you as a friend, weapon, and means of travel.
C) I didn't get it at first either, then it hits you.
D) Just be glad I didn't come here when I had a ponytail.
E) I told you we should have salted the roads.",D,,,,,,,
582,"['Are the people on the bike speaking to each other on their cell phones?', 'Why would they choose a bike that long to ride?']","A) They've been in love since 1992. I know. Their initials are carved in my ass.
B) Yes, I see the train but I think we can beat it.
C) After seven hundred billion for the Nobles, it was the least we could do.
D) I kind of like it when he's away on the Crusades.
E) Majority whip tonight?",B,,,,,,,
141,['Why does the angel have black bat wings?'],"A) I'm allergic to down.
B) Good news! We have a solid lead on who stole your liver.
C) Read my lips—no new taxidermy.
D) We never should have sold those air rights, Ed.
E) No train, but there's a shuttle.",A,,,,,,,
265,['Why are the chefs working on the car instead of cooking?'],"A) I have a request to see how the sausage is made.
B) I just wish we could talk about something other than global warming.
C) Let me guess...the Gym Reaper?
D) And when did you first come to believe that your conversations were being recorded?
E) Now, that's what I call execution.",A,,,,,,,
109,['Why is this germ on the plane?'],"A) Well, it's another thrilling night at the Samsas�?
B) We have to find a better way to record our meetings.
C) Let me remind you of your last review : ""The service is lousy and the food is rubbish""
D) Mistakes were made.
E) This guys wife lets him drink on the plane!",E,,,,,,,
608,['Why have the pipe organ pipes been replaced by a huge radiator?'],"A) The window cleaner brings a pastry.
B) Avoid direct sunlight.
C) It's for when hell freezes over.
D) And to think I could have married an Eames chair!
E) Yes, Your Highness. The greatest threat is overwatering.",C,,,,,,,
274,['Why is that woman wearing that outfit?'],"A) We could also go with a chandelier.
B) You can advocate for wind power all you want, Randy, but you're not going to escape your fossil fuel destiny.
C) How is she on the pole?
D) Hold on, the Senate Committee on Women's Health is getting out.
E) Are you even listening to me?",C,,,,,,,
507,['Why is the hot dog so big?'],"A) Congratulations-- it’s a porcupine.
B) Marco!
C) You want to sell mustard? Here's how you sell mustard!
D) Sure, I’ve got a few minutes to kill.
E) If this shows up in National Geographic, we'll never hear the end of it.",C,,,,,,,
249,['Why is the man sitting on a beach chair?'],"A) Do you have any previous whistle-blowing experience?
B) Really God, you worry too much.
C) Just get plenty of water and sunlight.
D) You know how they say that in the Spring, the desert comes alive?
E) Would you at least use coasters?",A,,,,,,,
518,"[""Why is there a drunk man in a kid's sandbox?""]","A) I liked it better when the big banks just charged late fees.
B) Yes, your policy covers acts of God. Why?
C) Table for eleven? Right this way.
D) If you see something, say something.
E) Isn't this the same guy who got shipwrecked in our wading pool?",E,,,,,,,
442,"['Why are an angel and devil driving cars?', ""Who's fault was the accident?""]","A) That's a rare medium. Well done.
B) They're programmed to be idiots, Higgins. What's your excuse?
C) If you can't eat 'em, join 'em.
D) Long time no sea.
E) Didn’t you see the light?",E,,,,,,,
330,['What happened to cause this?'],"A) I’ve decided to redecorate.
B) Making fission chips?
C) How much did you spend at Macy's this year?
D) We are going to go with Noah, but thanks.
E) I'm afraid this whole experiment is about to go south.",A,,,,,,,
421,['Where did the rhinos come from?'],"A) Never mind. It looks like they fixed the copier.
B) You dated who?
C) Make a different wish, your bagel is really stuck.
D) Fine. If it's a boy, we'll call him Boy. But if it's a girl I want to call her McKenzie.
E) Actually, we're in the same boat.",B,,,,,,,
592,['Why are there a bunch of ducks at computers?'],"A) Avoid direct sunlight.
B) Oh, you said assemble the caucus...
C) Take away the computers and they’re just sitting ducks.
D) It was Melville who called you a dick.
E) I listed our freezer on Airbnb.",C,,,,,,,
703,['Why is an alligator in a restaurant?'],"A) I guess I always assumed we'd raise Dylan in the city.
B) Could you trim the sides but leave it feathered on top?
C) Let's just say he'll have what you're having.
D) I don't mind cops, but you'd think God would have let in at least one exhaust specialist.
E) And when did you first come to believe that your conversations were being recorded?",C,,,,,,,
592,['What does a duck need to learn?'],"A) Should we try that new place in the corner?
B) …because no one is paying any attention to our northern border.
C) Tell me about your childhood very quickly.
D) Swift justice or cold pancakes? It's your call, honey.
E) I'm afraid this whole experiment is about to go south.",E,,,,,,,
692,['Why is the wold trying different skins of animals?'],"A) Once you tell them to sit and stay, they actually get a lot of work done.
B) His parents never picked him up.
C) Can I tell you about a few items that aren't on the menu?
D) This is more practical for work, but the zebra is just so fun.
E) Trust me; in five years echolocation will have completely replaced GPS.",D,,,,,,,
612,['Who drew the chalk outlines?'],"A) So much for starting over in a new city.
B) You pulled ahead of ""guy banging on a pot"" but ""couple making love with the drapes open"" is still way ahead.
C) It was a rough divorce, but she didn't get the Happy Face.
D) Can we make this quick? I gotta keep moving.
E) It's a textbook case--depending on which state your textbooks are from.",E,,,,,,,
526,['What are the angels discussing?'],"A) At least the hard part's over.
B) Ironically, it's for being so humble.
C) Golden parachute, my ass.
D) I miss the cash bonuses.
E) You wouldn't believe it! I met a man at the pet store.",B,,,,,,,
312,"['Why is the lion standing and wearing clothes?', 'What is the lion in the suit saying to the lion in the cage?']","A) You know how it is—first you buy the giant-screen television, then nothing else seems to match.
B) I feel like we've gotten a little soft, Lex.
C) Remind me to close the curtains tonight.
D) I know this seems weird, but even as a cub I could feel the rush of Wall Street racing through my veins.
E) Dad, you're not talking about my generation.",D,,,,,,,
626,['Is the man about to break his neck?'],"A) Most of them have candy, this ones filled with nuts.
B) On second thought, it's more of a sandals day.
C) Hi Hon. Can you meet me at the hospital in about ten minutes?
D) How many times do I have to tell you, don't call me at work!
E) But, officer, he did not yield!",C,,,,,,,
203,['How did they capture the giant.'],"A) It must be great to be endangered.
B) First time at Euro Disney?
C) I hate connecting through Roswell.
D) Let's not forget what happened the last time our session ran late.
E) Do you ever want to wring your own neck?",B,,,,,,,
446,['Why are there ovens instead of tables at that restaurant'],"A) And the worst part is this isn't my luggage.
B) I can arrange a violinist for 25¢. For $1, I can make him go away.
C) It says here that service is not included.
D) Well, it suits you better than the president costume.
E) Excuse me, Miss, my eyes are down here.",C,,,,,,,
541,['Why does he have a scythe with him?'],"A) It's for you honey
B) We'll really miss you.
C) All I'm saying is that the science isn't necessarily conclusive.
D) See? A real pirate would have cannonballed.
E) Can't stop now, i'm virtually there.",A,,,,,,,
218,"['Why is the lower bunk converted to a bathtub?', 'What is the prisoner on the top bunk saying?']","A) If you're so civilized, why don't you use a coaster?
B) Except here it's always good cop, good cop.
C) Let's let him keep your ball.
D) I can evolve.
E) Couldn't you just have had a last-meal request like everyone else?",E,,,,,,,
449,['Why is a wall being built in the middle of a room like this?'],"A) Happy Anniversary!
B) I'll tell you what could be more fun--a barrel of wine.
C) I'm off to Walmart. Do you need anything?
D) i just need one of those little umbrellas.
E) The robe is supposed to open in the back.",A,,,,,,,
413,['What is the man on the left saying to the woman he is with and why is he smiling?'],"A) Isn't it great how so many their age are pursuing second careers?
B) I usually don't say this to men.....How far apart are the contractions?
C) Good Samaritan? I was a GREAT Samaritan.
D) A Citation? Is it for bravery?
E) Mom said you were supposed to take me to the game.",A,,,,,,,
65,['Why are the robots at the conference?'],"A) If all goes well, we'll get them back after the audit.
B) Just be glad I didn't come here when I had a ponytail.
C) So you're the infamous Sudsy Malone.
D) If that's a courtship display, I think I know how we go extinct.
E) They're programmed to be idiots, Higgins. What's your excuse?",E,,,,,,,
15,"['Why is the man ashamed of his baldness?', ""Why is the man's baldness reflecting the woman's face?""]","A) It might look like the Virgin Mary but I don't see how you can sell it on eBay.
B) We are going to go with Noah, but thanks.
C) The listing did say kitchen to die for.
D) I'm only in it for the bread.
E) You're cold blooded. You belong in upper management.",A,,,,,,,
719,['Why is the building like that?'],"A) An optimist would see sushi.
B) Between you and me, the owner can't unload this fast enough.
C) Once they choose their queen, honey, it's really hard to change their minds.
D) Watch out for the moose head in the parlor.
E) There may be some lingering resentment.",B,,,,,,,
741,"['Why is the moon smiling and winking at the couple?', 'Is it possible these people have just had too much to drink?']","A) When the moon's in the sky like a big winking eye, that's emoji.
B) May I recommend the trout?
C) Long time no sea.
D) What happened to us? We used to be so wild.
E) This was easier to carry when it was flat.",A,,,,,,,
339,['Is that really Superman?'],"A) Yes, it's hot. But a ceiling fan will only make things worse.
B) So you're the bug that's been going around.
C) Evolve already.
D) Things just weren't working out for him on Wall Street
E) I'm always amazed these things actually fly.",E,,,,,,,
258,['What kind of wedding is this?'],"A) I did the choreography myself.
B) Anyone have an objection? Please? Anyone?
C) Because PETA said we can't whack him.
D) Wake up, Harold! You're having another of your delusions of grandeur.
E) Seven men walked into a bar and died. What's it to ya?",B,,,,,,,
415,['Why is Batman using public transportation?'],"A) Well, this is just great. The Joker is probably halfway to Brooklyn on the L by now.
B) I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.
C) Normally, I'd dump you in the East River, but it's not safe to leave the house.
D) Well, the good news is I finally got the monkey off my back.
E) It’s my first time on Celebrity Parole Hearing.",A,,,,,,,
522,['Why is he experimenting on the man?'],"A) Wait, did they say 'take the man and leave' or 'take the man and leaves?'
B) As long as we're up here, we should do the gutters.
C) Cancel my lunch date and get me a six-foot baguette.
D) Have you tried turning it off and back on again?
E) Shut up, Bob, everyone knows your parrot's a clip-on.",D,,,,,,,
630,['Why is the beach flooded?'],"A) If size didn't matter we'd all be swimming.
B) Gore was right. This is inconvenient.
C) I can remember when she was just a fuzzy yellow intern.
D) Well, I really must be staying.
E) I was wrong. This meeting is still boring.",B,,,,,,,
509,['Why are the salmon afraid?'],"A) May I recommend the trout?
B) Let’s hope for some nut allergies.
C) It's easy once you realize there's nothing to it.
D) You don't need to whisper—they're made of wax.
E) No, no! We don't test on animals.",A,,,,,,,
581,['Why does Moses need a jacket?'],"A) Well, it's not my fault booty revenues are down this quarter.
B) Should I check, ""exceeded expectations?""
C) Beat it, Buddy. We're out of chalk.
D) Take it. You mother worries.
E) I'm only here for the summer.",D,,,,,,,
546,['Why are the dolphins doing this?'],"A) 'They don't like wolves in cheap clothing.'
B) I knew they were smart. I didn't know they were sarcastic.
C) I found your brother...I'm glad we didn't use the snow blower....
D) American car companies just can't make a decent hybrid.
E) Forgot my underwear, shirt, suit, belt, tie, and watch.",B,,,,,,,
711,['Why are they playing baseball in a living room?'],"A) You look ridiculous.
B) Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!
C) Yes, it's a home game. Of course it's a home game. Everything's a fricking home game.
D) I always knew we'd wind up together.
E) I know I have a book in me.",C,,,,,,,
181,['When will they finish?'],"A) Tell me you kept the box and receipt.
B) Oh, shit! What if your sister-in-law is also right about God?
C) Before this I was a bus-boy.
D) His suspicions proved true once he saw the shoes. She was a night mare.
E) To go?",A,,,,,,,
740,['Why is there a bull in a China shop inspecting a glass?'],"A) Six rounds. Nine lives. You do the math.
B) Let's see him check his phone during a meeting now.
C) I guess I always assumed we'd raise Dylan in the city.
D) Things just weren't working out for him on Wall Street
E) Honey, is the Tesla recharged yet?",D,,,,,,,
113,['Who is she planning to shoot?']," an amuse-bouche?']""", how far can a hunchback jump?',,"scene: a hotel description: There are two people in a hotel hallway with a cart between them. One man is unlocking his room, while the woman has a gun at the ready at another door. uncanny: The maid is wielding a gun in a hotel. entities: Shootout, Housekeeping. choices A: Hold on, the Senate Committee on Women's Health is getting out. B: Oh, now you want to talk, when all week it was all 'Do Not Disturb.�?C: Siri, how far can a hunchback jump? D: Your availability comes off as desperation. E: But first, an amuse-bouche?",B,1,f37fc317e7e974e70cce327597d60ee0,"A) Hold on, the Senate Committee on Women's Health is getting out.
B) Oh, now you want to talk, when all week it was all 'Do Not Disturb.�?C) Siri, how far can a hunchback jump?
D) Your availability comes off as desperation.
E) But first, an amuse-bouche?",
518,['Is the man mentally ill?'],"A) I liked it better when the big banks just charged late fees.
B) Yes, your policy covers acts of God. Why?
C) Table for eleven? Right this way.
D) If you see something, say something.
E) Isn't this the same guy who got shipwrecked in our wading pool?",E,,,,,,,
109,"[""Why is the germ flying on the plane like it's a person?""]","A) Yeah, well your profile wasn't exactly honest either.
B) Take three thousand Tylenol and call me in the morning.
C) Have you tried turning it off and back on again?
D) I don't care if he's single-celled, he should have bought two seats.
E) Don't look at me that way—I wanted a giant cat.",D,,,,,,,
619,['Why is there a sword embedded into that desk?'],"A) If you can remove it... it means your heart is pure. But you can no longer work in sales.
B) When I'm finished we'll build a snowmidget.
C) So this is your idea of treating me like a queen?
D) You're such a light sleeper.
E) I miss the cash bonuses.",A,,,,,,,
565,"[""Why is the doctor's paper on fire?""]","A) If you want to get into this property you will have to move fast.
B) He's over tired.
C) Excellent slide show.
D) I'm not sure how many there are. Every time I start counting I fall asleep.
E) Have you tried exorcising?",E,,,,,,,
736,['Why is the gator wearing a propeller hat?'],"A) I recommend the trout.
B) First, I'd like to thank the podium.
C) Another nasty hokeypokey injury!
D) If that's a courtship display, I think I know how we go extinct.
E) The defense can't rest without this witness.",D,,,,,,,
732,['Why is the teddy bear on the witness stand?'],"A) It says Martha Stewart once lived here.
B) You're cut out for this job.
C) Well, if it isn't the Gym Reaper.
D) Tell them that the jury is still out.
E) Isn't it true, Mr. Bear, that you were in bed with my client on the night in question?",E,,,,,,,
59,['What is the meaning of the clock?'],"A) Oh, sorry. I forgot about the time difference.
B) No, thanks. I'm just here to kill time.
C) It's a Christmas sweater. Someday you'll understand.
D) Beat it, Buddy. We're out of chalk.
E) If we had just started wandering fifteen minutes earlier, we would have missed most of this traffic.",A,,,,,,,
478,['Why is it raining over the man?'],"A) This your last chance to come clean.
B) Not everything is about you.
C) The people who lived here before had lions.
D) This is fancy role-playing for a conjugal visit.
E) How about some help carrying the groceries?",B,,,,,,,
395,['Why is there a man in a plane engine?']," I'll fill out the census.""""]"""," sir. We don't allow...hats.""""",,"scene: war setting description: A man is poking his head out of a plane engine. Another man is on a ladder and is putting a huge q-tip in it trying to clean it. uncanny: There is a man inside a plane engine (I think). entities: Cannon, Cleaning_rod. choices A: Sir, you did ask for our lowest fare. B: We use every part of the animal, even the rhombus. C: I'm surprised you can ghostwrite for him. I've only heard him say, ‘Fee fi fo fum.�?D: Sorry, sir. We don't allow...hats. E: Okay, okay. Fine, I'll fill out the census.",A,1,ab4bd52c91d8f52dcb4b24fa6ce45501,"A) Sir, you did ask for our lowest fare.
B) We use every part of the animal, even the rhombus.
C) I'm surprised you can ghostwrite for him. I've only heard him say, ‘Fee fi fo fum.�?D) Sorry, sir. We don't allow...hats.
E) Okay, okay. Fine, I'll fill out the census.",
714,['Why is there a cat on the beach ball?'],"A) I admire your restraint.
B) Now don't you wish you hadn't done so many helium shots?
C) Actually, I'm not crazy about long walks on the beach.
D) Get adopted,"" they said. ""It'll be fun,"" they said
E) What kind of neanderthal uses vodka instead of gin?",D,,,,,,,
534,['Why are they bringing a snake to work?'],"A) Watch out for the moose head in the parlor.
B) Well, sure, but I never would have believed in a Trump presidency, either.
C) No, what I said was we need more stakeholders.
D) I'm not a big cat person.
E) It might look like the Virgin Mary but I don't see how you can sell it on eBay.",C,,,,,,,
581,['What deal is being made here?'],"A) Yes, I see the train but I think we can beat it.
B) I always knew we'd wind up together.
C) But how will we raise the kids?
D) It's odd, you know. They never seem to bother me.
E) It gets chilly at night in the desert.",E,,,,,,,
380,['Why did Noah only gather giraffes?'],"A) Don’t look at me. I wanted a Portuguese water dog.
B) Your cheeseburger is on the loading dock.
C) Mistakes were made.
D) You look ridiculous.
E) It scrape sky.",C,,,,,,,
20,['Why is the man so small?'],"A) Do I hear a motion for less disclosure?
B) If you're so civilized, why don't you use a coaster?
C) At this point in the interview, Johnson, we would like to see how well you play with others
D) So much for the suggestion box being anonymous
E) Whatever you do, don't agree to play hide-and-seek with him.",E,,,,,,,
516,['Who threw the cinderblock?'],"A) I don't mind cops, but you'd think God would have let in at least one exhaust specialist.
B) If you're so civilized, why don't you use a coaster?
C) Now, that's what I call execution.
D) The wife said her lawyer would be dropping something off today...
E) It was the only way I could get into the country.",D,,,,,,,
583,"['What did the man do to end up in the stocks?', 'Why did they choose such an old method of punishment for the man?']","A) Could you please rub the coffee pot? I need to talk to my wife.
B) Tell them that the jury is still out.
C) He's been suspended indefinitely.
D) You think Alcatraz can hold me?
E) It was a very hostile takeover.",E,,,,,,,
560,['Why is the caveman sad?'],"A) I love her. And she can dunk.
B) The captain assures me it was a very small iceberg.
C) A Citation? Is it for bravery?
D) I invented fire. He invested in it.
E) And the worst part is this isn't my luggage.",D,,,,,,,
486,['Why does the man own a small dog?'],"A) My last office had a castle.
B) I'm afraid this whole experiment is about to go south.
C) Now, at the actual wedding tomorrow, let's keep Heather off the vodka.
D) This is the most advanced case of Surrealism I've seen.
E) Wait for my command and then, release the hound.",E,,,,,,,
593,['Why did someone stab the knife on his back?'],"A) I suspect some people will deny this ever happened.
B) We discovered the Internet since you were here last.
C) I strongly recommend you read the fine print on this one.
D) It's not so much what she said as how she said it.
E) You can tell the judge why you were doing CX in a XXV.",D,,,,,,,
680,['Why is the polar bear soaking wet?'],"A) I'm beginning to see what you mean.
B) Aren't you going to write this down?
C) Easy for you to say, you're cured!
D) I don't think 'dressage' means what you think it means.
E) I wish you'd come in when it was just a chip on your shoulder.",B,,,,,,,
522,['What is the scientist going to do?'],"A) Wait, did they say 'take the man and leave' or 'take the man and leaves?'
B) As long as we're up here, we should do the gutters.
C) Cancel my lunch date and get me a six-foot baguette.
D) Have you tried turning it off and back on again?
E) Shut up, Bob, everyone knows your parrot's a clip-on.",D,,,,,,,
642,['Why is he in the alley?'],"A) I could've made that!
B) I'm sorry. I've been burned too many times.
C) Your availability comes off as desperation.
D) It always ends in tiers......
E) Oh god, Jerry, enough, the divorce is final.",E,,,,,,,
178,['How did the man break out of jail?'],"A) Look, you agreed to a trial separation.
B) If their dog starts humping your leg - let it finish.
C) I hate it when you bring work home.
D) If anybody calls, I'm not here.
E) Take it. You mother worries.",D,,,,,,,
318,['Why is the bird so big?'],"A) Legally, we’re a farm.
B) Getting laid is harder than it looks.
C) I recommend the pigeon. It's locally sourced.
D) That's strange—some of my twigs are missing, too.
E) I don't mind the monkey see as much as the monkey doo.",D,,,,,,,
743,['Why is the lion head eating the man?'],"A) Does this make me the trophy's wife?
B) Another nasty hokeypokey injury!
C) Get over it. You're not an old cowhand, you're Irving Goldstein from Brooklyn.
D) You could at least bark.
E) You were right—putting him on commission changed his attitude.",A,,,,,,,
727,['Where is this place located?'],"A) This suit looked way better in the store.
B) Mind if I cut through?
C) Well I have to go, my ride is here.
D) It's the closest you'll get to Manhattan in your price range.
E) He'll never survive the primaries.",D,,,,,,,
89,"['Who is the lion on the phone talking to?', 'What is the lion on the phone talking about?']","A) Could really use some rain on this parade.
B) You might want to rethink your ringtone
C) How many times do I have to tell you, don't call me at work!
D) Well, it does make her waist look smaller.
E) First, welcome to Pisa.",C,,,,,,,
27,"['Why do the men have parrots on their shoulders?', ""Why doesn't the man who is standing have a parrot on his shoulder?""]","A) It prints out his tweets. All the new uniforms have them.
B) Run! The kid with the little red shovel is coming back!
C) Well, it's not my fault booty revenues are down this quarter.
D) Not a commandment. Just a suggestion.
E) Ignore the 'Whites Only' sign.",C,,,,,,,
735,['What does a cake have to say?'],"A) Does this make me the trophy's wife?
B) What turns you off?
C) You are a lot bigger in person.
D) Hold on, the Senate Committee on Women's Health is getting out.
E) Look, damsels say all sorts of things in distress.",C,,,,,,,
742,['Why is the man having a Barbecue?'],"A) He thinks you push people away.
B) Don’t laugh, it got my uncle out of the army.
C) Stop me if you've heard this one.
D) All my co-workers think this is just a virtual Zoom background.
E) Fine, but no flash photography.",E,,,,,,,
689,['Why did the knight pierce a car door?'],"A) Which kid do you want?
B) OK, but he is going to have to check that bag.
C) I didn't think the oceans could rise any higher.
D) It used to be chivalrous to open doors for people.
E) I identify as fish",D,,,,,,,
705,"['Who brought the cappuccino machine?', 'What is the cowboy saying?']","A) You've been upgraded to pilot.
B) And my hourly fee is six hundred dollars. You're not in Kansas anymore.
C) I'm haunted by the faces of my victims.
D) 'Til death do us part"" was the agreement, Susan.
E) Grounds still warm . . .",E,,,,,,,
732,['Why is the teddy bear on the witness stand?'],"A) It's true, your honor. I slept with the witness.
B) The memo said to 'expect incoming male' but we had assumed it was a typo
C) We're trying to teach him not to beg at the table.
D) Honey, is the Tesla recharged yet?
E) I can evolve.",A,,,,,,,
487,['Why does the man look so disheveled?'],"A) Help me get under the seat for takeoff.
B) If you'd like, I can have the sommelier drag over the wine list.
C) But, officer, he did not yield!
D) I'm on a bar crawl.
E) Aren't you going to write this down?",D,,,,,,,
743,['Why is the lion head eating the man?'],"A) Relax, take off your shoe.
B) Your Honor, may I have permission not to approach the witness?
C) For God's sake, Dave, you're thirty-five—just use the stairs.
D) Dr. Ogden just called to say your mercury levels are on the high side.
E) Still not level.",E,,,,,,,
141,['Why are the angels facing off?'],"A) Is the salmon fresh?
B) It deployed when her carriage rear-ended an ox cart.
C) The inland tortellini are still with you, sir, but you're losing support with the coastal risottos.
D) It just looked so uncool to wear a seat belt in the Batmobile.
E) Greetings, and let go of my penis.",D,,,,,,,
275,"[""Why is the clown coming out of the judge's desk?""]","A) I'll order. You pick up.
B) Let’s ask him to stay for dinner.
C) Lily pad . . . lily plant . . . Damn, I've forgotten my safe word!
D) Swift justice or cold pancakes? It's your call, honey.
E) Well technically, you ran the red light.",D,,,,,,,
377,['Why is there a giant rat reading the paper on a chair?'],"A) Did you just order 100 cheese pizzas?
B) I'm haunted by the faces of my victims.
C) This suit looked way better in the store.
D) Hmm. I'm beginning to see a pattern.
E) And the worst part is this isn't my luggage.",A,,,,,,,
518,['Why is the man crawling around the sandbox?'],"A) I like it. Since the anchor arrived, no one has asked about my hook, my hat, or what happened to the parrot.
B) You think this is bad? I used to be a proctologist.
C) Mrs. Freeley buried his Scotch again.
D) As an icebreaker, let's all share one interesting thing about ourselves. I'll start.
E) Less woofer?",C,,,,,,,
96,['What is that woman doing there?'],"A) Well, you'll be a monkey's uncle.
B) Honestly, I’m not sure you’re partner material.
C) I just can't get past the difference in our ages.
D) I don't normally date Middle-Aged men.
E) Sir, this is the Met. The Mets are down the street.",A,,,,,,,
531,"['Why are there giraffes in a house?', 'What is the standing giraffe saying to the giraffe who is laying down on the couch?']","A) Poor guy. Thought he signed up for pilates.
B) Ten bucks says you can't hit him twice.
C) What happened to us? We used to be so wild.
D) Don't blame me—I voted for the other thing.
E) We have a stalker.",C,,,,,,,
347,['What is the strange man doing there?'],"A) Honey, is the Tesla recharged yet?
B) Sheep Meadow? No, we wanna see the Seinfeld diner.
C) They're not testing our intelligence. They're testing our marriage.
D) And where do you think you're going with those curtains?
E) I know I was having trouble finding it, but this is a little extreme.",E,,,,,,,
272,['Where are they driving to?'],"A) More legroom than I would have guessed.
B) We'll see how affectionate he is when he finds out who ate his parrot.
C) I shouldn't be telling you this but I saw her last week on a different cake.
D) Solids or pinstripes?
E) Could you please rub the coffee pot? I need to talk to my wife.",A,,,,,,,
511,['Why does the boy have a huge snow shovel?'],"A) I'm hourly.
B) Isn't this the same guy who got shipwrecked in our wading pool?
C) He identifies with the oppressor.
D) ""Just to confirm—I get seventy-two lemmings, right?
E) I don't know how to tell him it's not his.",A,,,,,,,
592,['What does a duck need to learn?'],"A) I'm sorry, sir, but we do reserve the right to serve refuse to anyone.
B) After the budget cuts we only get a list of the medals
C) The answer to number seven? I can't even turn this thing on.
D) I remember them from last year. They must be perennials.
E) Let me remind you of your last review : ""The service is lousy and the food is rubbish""",C,,,,,,,
356,['Why are there two leashes coming from the dog?'],"A) The answer to number seven? I can't even turn this thing on.
B) Are you here for your annual or your perennial?
C) I hate our therapist.
D) Not a commandment. Just a suggestion.
E) She told me she had protection.",C,,,,,,,
683,['What is this building?'],"A) 4B wants you to make her husband disappear.
B) Good, very good.....now let's all try to think it back into the box.
C) Which sounds faster: ‘clip-clop, clip-clop�?or ‘clippety-clop�?
D) Of course it's pretentious- didn't you see the rock he gave her?
E) Wake up, Harold! You're having another of your delusions of grandeur.",D,,,,,,,
674,"[""Why isn't the man showing fear?""]","A) And commandments Eleven to Twenty are the same as one to ten, just with tofu instead of meat.
B) You don't need English on every shot.
C) He didn't want to be chained to his desk.
D) Coffee and doughnuts. No wonder they're endangered.
E) So, this is fine but you're scared of the vacuum cleaner?",E,,,,,,,
612,['Why are the outlines of animals and not just people?'],"A) Can we make this quick? I gotta keep moving.
B) Let Table Seven know that there will be a slight delay on the risotto.
C) It's Kansas, m'am. Evolution is a crime.
D) Just get plenty of water and sunlight.
E) It gets chilly at night in the desert.",C,,,,,,,
235,['How did the ballerina end up in the line-up?'],"A) This town ain’t big enough for anyone.
B) I'm six feet tall if I stand on my toes.
C) Keep moving. He's a hugger.
D) Armstrong? No, though I do get mistaken for Lance a lot.
E) In 2019, I would have been both confused and alarmed by this.",B,,,,,,,
727,['Where is this place located?'],"A) Now imagine having to do that in heels
B) I have some good news—we're letting you go.
C) You work remote, right?
D) Show them how you make the middle class disappear.
E) I'm a big person. It only looks smaller.",C,,,,,,,
263,['Why is the man up there on the ceiling?'],"A) No, actually I fell off the wagon.
B) On the bright side, I've got some good news for the Prince.
C) Now don't you wish you hadn't done so many helium shots?
D) Happy Anniversary!
E) I usually don't say this to men.....How far apart are the contractions?",C,,,,,,,
716,['What do they need the traps for?'],"A) We should probably exchange insurance information.
B) Would you at least use coasters?
C) My left or your left?
D) It was in international waters.
E) He could have just written his name on his yogurt.",E,,,,,,,
445,['Why is the car scary-looking and why does it have legs?'],"A) It’s the new Mustang.
B) She runs like a dream I once had.
C) Let Table Seven know that there will be a slight delay on the risotto.
D) In this clinic, Mr. Kramer, we call it a vasectomy.
E) Well, it's another thrilling night at the Samsas�?",B,,,,,,,
117,['Why is that ring there?'],"A) Are you even listening to me?
B) It’s my first time on Celebrity Parole Hearing.
C) My wife will be here any moment. She's loading herself into the cannon as we speak.
D) Dad, you're not talking about my generation.
E) Let's keep this brief. I've got to get back to staring out the window.",C,,,,,,,
443,['Why are the bowling pins so huge?'],"A) I only glanced down at my phone for a second.
B) Remember that domino factory?
C) I knew they were smart. I didn't know they were sarcastic.
D) And then I find out all the king's horses and all the king's men are out-of-network.
E) Keep your eye out for a blond kid with a laser pointer.",B,,,,,,,
712,['Did the meteorite level their building?'],"A) So...we had a bad 1st quarter. It's not the end of the world.
B) He's been on that same story for hours. I'm beginning to think he can't read.
C) Do you struggle endlessly through here often?
D) The robe is supposed to open in the back.
E) He'll never survive the primaries.",A,,,,,,,
