contest_number,questions,caption_choices,answer,,,,
144,['Why are there so many fish present?'],"A) I'm haunted by the faces of my victims.
B) Well, at least they're not purple cows.",A,,,,
16,['Why is there a devil in the church?'],"A) Don't let them fool you, they're all lawyers.
B) Keep your eye out for a blond kid with a laser pointer.",B,,,,
421,['Where did the rhinos come from?'],"A) You dated who?
B) They've gone viral.",A,,,,
241,['Why is the shark laying on the deserted island?'],"A) Let’s ask him to stay for dinner.
B) For the last time, no, I can't open cans.",A,,,,
606,['Is that hitchhiker real or a hallucination?'],"A) I picked him up in Witchita last year and he stole my phone charger.
B) As senior squeegee-man during flight simulations, moving up didn't pan out.",B,,,,
522,['What is the scientist going to do?'],"A) Have you tried turning it off and back on again?
B) The Vice Presidential selection committee is upstairs.",A,,,,
583,"['What did the man do to end up in the stocks?', 'Why did they choose such an old method of punishment for the man?']","A) He didn't want to be chained to his desk.
B) He thought America 'was' great.",A,,,,
665,"['Why is there a man standing on the shark?', ""What's the shark saying?""]","A) No Bob, it's called ashiatsu massage.
B) How about some help carrying the groceries?",B,,,,
711,['Why are those people playing baseball in a living room?'],"A) I built it and they came...
B) 3rd month, nobody out.",B,,,,
245,['Why are the people inside the tea cup?'],"A) Its really a matter of perspective.
B) We'll never get to sleep tonight.",B,,,,
596,['What happened next?'],"A) Last call? You have no idea.
B) Actually, I'm here on business.",A,,,,
753,['Why is there a whale shopping for groceries?'],"A) Try the beluga, it's really great.
B) It was Melville who called you a dick.",B,,,,
577,"[""Why would the food truck choose to do business in this family's home?""]","A) Any idea how he gets out of that truck?
B) Should we try that new place in the corner?",B,,,,
541,['Why is the grim reaper dressed like a hoodlum?'],"A) We are offering organic weed control.
B) Let me guess...the Gym Reaper?",B,,,,
678,['How did this happen to them?'],"A) Frankly, I don't see the point.
B) I always knew we'd wind up together.",B,,,,
223,['Why are the people inside the washers?'],"A) Would you be interested in joining our book club?
B) Be careful, these machines are self-loading.",B,,,,
622,['Why is he grilling on the train?'],"A) Get your Prime here.....instant delivery and no annual fee.
B) If you want cheese, you'll have to stay on until 59th Street.",B,,,,
398,['What is chained up behind the house?'],"A) If their dog starts humping your leg - let it finish.
B) Be happy - looks like you're eating local tonight.",A,,,,
725,['Why does the girl have a cherry on her head?'],"A) I now see why you only get me every other weekend.
B) This might be above your pay grade, Dad.",A,,,,
530,"['Why is the sword so big?', 'What is the scribe reading to the king?']","A) Your overhead is going to kill you.
B) Compensating for something, are we?",A,,,,
83,['Why are those household objects so big?'],"A) Would anyone like 1/68th of a piece of toast?
B) So, this is what upsizing is all about?",A,,,,
153,['What are the dancers doing there?'],"A) No, when your clients' manager told them to ""break a leg"", that did NOT constitute malicious intent!
B) I know you have the law and the facts on your side, but I'm going with the dancing girls on this one.",B,,,,
78,['Why are they sleeping in a jail cell?'],"A) I don't care how others view our marriage.
B) How about we just stay in tonight?",B,,,,
680,['Why is the polar bear soaking wet?'],"A) I was pretty sure I said ""a cold beer"".
B) I'm sorry sir but we're all out of the salmon.",A,,,,
235,['Why is there a woman in a male lineup?'],"A) Which of these things is not like the other?
B) I'm six feet tall if I stand on my toes.",B,,,,
108,['Why is there a house in caveman times?'],"A) He needed a place to park his wheel.
B) Oh Jenny Look...Fireworks!",A,,,,
733,['Why are the sheep are angry at the wolves?'],"A) The boss says to count all the legal votes.
B) They found out we've been fleecing them.",B,,,,
526,"[""Why is the male angel's halo so large?"", 'Does the female want to hook up with the egotistical male angel?']","A) It autocorrected to ""hula"".
B) Let me guess. You were a priest.",A,,,,
178,['How did the man break out of jail?'],"A) I'd kill for some peanuts.
B) They always come here first.",A,,,,
331,['Why is the spaceship following the car?'],"A) Are you really ready to start a new life?
B) Which finger do I use for Aliens?",B,,,,
347,['Why is the detective there?'],"A) I told you we should read both parties' platforms before voting.
B) I know I was having trouble finding it, but this is a little extreme.",B,,,,
344,['Why is that man hanging from the statue?'],"A) If I go, page 4 of our report goes with me.
B) It wouldn't be so bad if you had remembered the soda.",A,,,,
577,['What is the vendor doing in there?'],"A) We meant get a job AND move out.
B) It's only weird if you make it weird.",A,,,,
312,['Why is this lion so special?'],"A) and then I hired an image consultant...
B) If you can't eat 'em, join 'em.",B,,,,
601,['Why is the cactus running after them?'],"A) Sheriff Arpaio, we're joggers, not Mexicans.
B) I thought you said it wouldn't need much attention.",B,,,,
571,"['Why is there a giant anchor in a coffee shop?', 'What is the pirate saying?']","A) Now let's see 'em walk off with the bathroom key!
B) Mind if I just leave it here for a minute?",A,,,,
220,['Why would a shadow puppet need to visit the doctor?'],"A) I am recommending an emergency lapindectomy.
B) Yes, Mr. Rabbit also needs to quit drinking.",B,,,,
733,['Why are the wolves in suits?'],"A) It seems you promised them herd immunity, sir.
B) I counted way less of them in my sleep.",A,,,,
217,['Why is there a pool in there?'],"A) Make yourself useful—fake some Russian and hold up a 9.9.
B) HR found out that I never passed the freshman swim test at Cornell!",A,,,,
719,"['Why is this house built out of two stacked washing machines?', 'Why would the couple be interested in living here?']","A) Well the ad did say apartment size washer and dryer.
B) The spin cycle takes a little getting used to.",A,,,,
601,['Why does the cactus have legs?'],"A) You should never have said ""Boy that'd make one hell of a coat rack.""
B) You know how they say that in the Spring, the desert comes alive?",B,,,,
668,['Why does the dragon have flowers?'],"A) Mom says I can't. My gown got all singed last time.
B) I only like you as a friend, weapon, and means of travel.",B,,,,
92,"['Why is the dolphin begging for money?', 'Why is the woman mad at the man for giving the dolphin money?']","A) Come on, George. You know he's only going to spend it on more oxygen.
B) When the local Sea World moved, unemployment hit everyone hard.",A,,,,
597,['Is that legal?'],"A) This is going to be the best taxidermy convention ever.
B) So, while I was in Rome, I picked up a little Italian",B,,,,
581,['Why does Moses need a jacket?'],"A) Not a commandment. Just a suggestion.
B) ...and this came for you from Amazon.",A,,,,
541,['Why does he have a scythe with him?'],"A) Our order was for chicken fajitas.
B) I see fashion's dead, too.",B,,,,
698,['Is the man actually a king?'],"A) You said Archie would be accepted in preschool.
B) Maybe His Highness should make reservations next time.",B,,,,
406,['Why is there a plumber on a small island coming out of the ocean?'],"A) The climate changed.
B) I saw your ad in a bottle.",B,,,,
369,['Why does he have a long portrait picture like that?'],"A) I love her. And she can dunk.
B) Office policy, no posters on the walls.",A,,,,
620,['Why are the angels trying to hit earth?'],"A) The climatologists here have an axe to grind.
B) Most of them have candy, this ones filled with nuts.",B,,,,
275,"[""Why is the clown coming out of the judge's desk?""]","A) Don't worry, she's just the public defender.
B) I hate it when you bring work home.",B,,,,
509,['Why are the salmon afraid?'],"A) I recommend the trout.
B) No matter what, don't run.",A,,,,
738,['Why is the UFO beaming up leaves?'],"A) Can't wait to see the look on his face when we put these back on the tree.
B) We'll see why they collect them, spread them, burn them, or give them to the truck.",A,,,,
181,['why do they want to build the building?'],"A) I never should have skipped so many classes.
B) Tell me you kept the box and receipt.",B,,,,
422,['What is the turtle doing with all those items?'],"A) I'm working from home.
B) The downside is yet to come.",A,,,,
404,['why does he have a different reflection?'],"A) I look like five bucks.
B) He says he wants to talk to you",A,,,,
581,['Why is God or this large hand giving the man a sweater?'],"A) Not a commandment. Just a suggestion.
B) ...and this came for you from Amazon.",A,,,,
181,['When will they finish?'],"A) I should have hired union labor.
B) Dude, Athena's gonna be pissed.",B,,,,
193,['Why are there people with strings coming out of them in a house?'],"A) This was so much more awkward before Craigslist.
B) And the best part is, it'll never be our fault.",A,,,,
732,['Why is the bear in the witness box?'],"A) It's true, your honor. I slept with the witness.
B) Please tell the court what you saw them do to the ballots.",A,,,,
670,['Why is the rider wearing armor?'],"A) It's just until I can afford health insurance.
B) Look, the rest of the guys have steroids.",A,,,,
711,['Why are they playing baseball in a living room?'],"A) So far we're undefeated at home.
B) Seriously, you wouldn't believe my seats.",B,,,,
608,['Why have the pipe organ pipes been replaced by a huge radiator?'],"A) I know this song, but I can't put my finger on it.
B) The hard part was transposing from C major to Fahrenheit.",B,,,,
454,['Why does heaven look like a prison?'],"A) We don’t forgive those who trespass against us.
B) I think maybe I need a new travel agent.",A,,,,
392,"['Why is the Hulk at a yoga class?', 'Why is the Hulk attacking the man?']","A) RELAX!
B) No more Enya.",A,,,,
720,['What is the woman doing there?'],"A) The blind date site stated you are ""Strong, upwardly mobile and persistent"" which sounded good at the time.
B) literally the only viable caption for this is ""you come here often?"" and anything else is a wasted opportunity.",A,,,,
531,"['Why are there giraffes in a house?', 'What is the standing giraffe saying to the giraffe who is laying down on the couch?']","A) Let's stay in tonight. It's a zoo out there.
B) Wide screens make no sense. Why not tall screens?",A,,,,
148,['Why is a holy religious figure a criminal?'],"A) By the way, we are not allowed to show the face or image of No. 6.
B) I know it is difficult but take your time. You have to be absolutely sure.",A,,,,
459,"['Why are the people on top of the table?', 'What is the man sitting in a chair on the floor saying to the people on top of the table?']","A) This doesn't mean you can talk down to me.
B) Would you at least use coasters?",B,,,,
16,['What is the Devil planning on doing?'],"A) O.K., they're yours, but I still don't know where you got that fourth ace.
B) Since we've become fair and balanced, we've increased our attendance by 50%.",A,,,,
711,['Why are those people playing baseball in a living room?'],"A) All his pitches have been inside.
B) They called it a Phase 1 trial.",A,,,,
425,['Why is there a grave in an office?'],"A) I thought he wanted to be shredded.
B) This cubicle has bad Feng Shui!",A,,,,
346,['What is the politician saying?'],"A) I hear he forged his death certificate.
B) These aren't clouds, they're hot air.",A,,,,
336,['Why did the man choose to show that picture?'],"A) Please hold your applause—there are eighteen more minutes of this.
B) And at times my fieldwork has required me to travel incognito.",A,,,,
104,"['Why are the loitering angels dressed in shabby clothes/drinking in heaven?', 'Why are there police in heaven?']","A) They can't do anything. Spirits are legal here.
B) Except here it's always good cop, good cop.",B,,,,
450,['Why are they dancing?'],"A) Go check the side effects on that flu vaccine.
B) Honestly, I’m not sure you’re partner material.",B,,,,
432,['Why are they in the cages?'],"A) Try to look housebroken.
B) I'm just happy I have a job.",A,,,,
501,['Why are there social media icons on the flag?'],"A) I just think it sends the wrong message.
B) We're definitely in the same boat",A,,,,
224,['Why are they all in there?'],"A) I told you a jury of 24 peers was a lousy idea.
B) You’re right. We’ll need a second stimulus plan.",B,,,,
581,['What deal is being made here?'],"A) I'll be back with a sleeping bag.
B) Thou shalt not machine wash.",B,,,,
191,['Why did the cat chase the rodents off the cliff?'],"A) we are actually evolving.
B) Table for eleven? Right this way.",B,,,,
532,['Why did the whale get out of the water?'],"A) Yeah, well your profile wasn't exactly honest either.
B) The beachfront property looked so much larger on Airbnb.com.",A,,,,
173,['How did they make so much money?'],"A) Who would have thought they'd actually give money to a bank!
B) Tell me again, what is this supposed to stimulate?",A,,,,
258,['What kind of wedding is this?'],"A) I'll ride this one all the way to the bank
B) Anyone have an objection? Please? Anyone?",B,,,,
258,"[""Why is the bride sitting on top of the groom's shoulders?"", 'What is the priest saying?']","A) I'll ride this one all the way to the bank
B) Anyone have an objection? Please? Anyone?",B,,,,
705,['Why are there modern things in the scene?'],"A) Tall salted caramel macchiato with low-fat organic almond milk, no sugar�?It's him alright.
B) I tried telling her ""a home where the buffalo roam"" ain't all it's cracked up to be.",A,,,,
665,"[""Does the man know what he's doing?""]","A) No Bob, it's called ashiatsu massage.
B) How about some help carrying the groceries?",B,,,,
437,['Why are the birds so big?'],"A) Move the car.
B) I love squirrels.",A,,,,
523,['Why are there monkeys in a house?'],"A) I don't mind the monkey see as much as the monkey doo.
B) The stager says this is how we'll sell the house.",A,,,,
733,['Why are the sheep angry?'],"A) The boss says to count all the legal votes.
B) They found out we've been fleecing them.",B,,,,
446,['Why are the tables stoves?'],"A) The sign said home style cooking.
B) The Times critic gave himself four stars.",A,,,,
382,['Why is the man floating in the air?'],"A) I said stand up straight, not stand straight up!
B) Please, Mr. Blaine. I do have other patients to attend to.",B,,,,
513,['Why is the briefcase big enough for three people and why are they carrying it?'],"A) It's a merger case.
B) xylophone...why do you ask?",A,,,,
704,['Why are the men carrying tubas?'],"A) Wait til you see the 76 trombones!
B) We've been asked to work from home.",B,,,,
546,['Why are the dolphins doing this?'],"A) What's happening on your side?
B) Also the schools are better",A,,,,
167,['What is he saying?'],"A) Are you guys all registered to vote?
B) O.K.,who pooped on the lectern?",B,,,,
378,['Why does the pirate have a rabbit on his shoulder?'],"A) I'm rebranding.
B) It's luck not lunch.",A,,,,
197,['Why does the jet have human legs?'],"A) Yes, our research and development is sponsored by Prada. How did you know?
B) It’s a pretty good aircraft, except that it keeps nagging you to ask for directions.",B,,,,
592,['What does a duck need to learn?'],"A) At least we made the top sixteen
B) I'm only in it for the bread.",B,,,,
393,"['Why are these men standing on clouds holding/throwing lightning bolts?', ""Why is one man dressed in a suit and the other isn't?""]","A) It's easy to kill from the clouds.
B) Ten bucks says you can't hit him twice.",B,,,,
253,['What happened to the second horse?'],"A) You always have to be an early adopter.
B) At least they left you the hat",A,,,,
170,['Why is the man carrying the chicken?'],"A) The label said, ""Free Range Tofu.""
B) I was actually hoping for a boy.",B,,,,
513,['What is in the briefcase?'],"A) It's a merger case.
B) xylophone...why do you ask?",A,,,,
624,['Why is there a moving skeleton?'],"A) Of course I am happy to see you! I just need a little time to decompose myself!
B) Well, yeah, I saw your tombstone, but I thought it might be a different Ned Ryerson.",A,,,,
519,['What are the birds thinking?'],"A) He developed the Big Bang Theory.
B) He's not brave. It's deer season.",B,,,,
272,['Why are the parents letting their kids drive jeep while drinking?'],"A) No more interns.
B) I'm pregnant.",B,,,,
595,"['Why did the snowman choose to work in this store?', 'How is the snowman not melting?']","A) He took me back to his igloo, and let's just say he was abominable...
B) They didn't say who...they just said one of us won't be here in the spring...",B,,,,
589,['Why is the menu book that large?'],"A) The Executive Order requires us to make everyone's hands look small.
B) If you'd like, I can have the sommelier drag over the wine list.",B,,,,
92,"['How can the dolphin survive out of water?', 'Why does the dolphin need money?']","A) Come on, George. You know he's only going to spend it on more oxygen.
B) When the local Sea World moved, unemployment hit everyone hard.",A,,,,
560,['Why are they in the hole?'],"A) Shouldn't we tell him that place has cougars?
B) He got the man cave in the divorce.",B,,,,
585,['What does the boy wish for?'],"A) Ever since my AA pledge, I just can't hit the bottle anymore.
B) Could you please rub the coffee pot? I need to talk to my wife.",B,,,,
515,['Why are they laying on the track?'],"A) I see our time is almost up.
B) Don't take this lying down.",A,,,,
523,['Why is the room full of monkeys?'],"A) They new ordinance limits the number of cats.
B) Should I have gotten a half-barrel?",B,,,,
151,['What could this man be doing with pencils that large?'],"A) ‘How many accountants does it take to sharpen a pencil?�?you ask? In this case five.
B) No my desk is on 11, but I work reception when he terrorizes Tokyo on his lunch break.",A,,,,
65,['Why are the robots at the conference?'],"A) All those in favor of casual Friday - Raise your hands.
B) They're programmed to be idiots, Higgins. What's your excuse?",B,,,,
591,['What is a bathtub doing in there?'],"A) You know what they say. Location, location, location.
B) I sense there's a lot more below the surface.",B,,,,
381,"['Why does the woman feel her children are such burdens?', 'Did Sisyphus have children?']","A) You call THAT pushing?
B) I'm only doing eighteen years.",A,,,,
668,['Why is the dragon carrying flowers for the maiden?'],"A) Shouldn't you be guarding my sister?
B) Yes, yes, I mythed you too.",B,,,,
274,['Why is that woman wearing that outfit?'],"A) How is she on the pole?
B) You said you wanted a fifth.",A,,,,
571,"['Why is there a giant anchor in a coffee shop?', 'What is the pirate saying?']","A) But the coffee shop hasn't moved since I installed the anchor, has it?
B) There's mutiny in the air. Also Viennese dark roast, but mainly mutiny.",B,,,,
540,['What is the doctor listening for.'],"A) After the exam, we need to discuss safe sex.
B) It could be a combination of things.",B,,,,
218,['Does the man on top feel awkward?'],"A) if we're going to go by the book, technically it's THREE men in the tub
B) Couldn't you just have had a last-meal request like everyone else?",B,,,,
244,['Why did the man bring a dead alligator?'],"A) These executive desk toys are becoming a nuisance.
B) Sorry, but only your personality would be a perfect match.",A,,,,
584,['Why are so many identical men in the same place at the same time?'],"A) No, I ordered 100 CPUs.
B) Describe him.",B,,,,
109,"[""Why is the germ flying on the plane like it's a person?""]","A) I guess that viral marketing works after all.
B) This guys wife lets him drink on the plane!",B,,,,
670,['Why is a man wearing a full suit of metal armor while trying to write a bike?'],"A) The King blames gentrification but I kind of like it.
B) I always said I'd take up cycling when I hit the middle ages.",B,,,,
106,"['What did the monkey sitting at the typewriter write?', 'Are there real words on the typewritten pages?']","A) We'll have to run it by our infinite number of editors.
B) Start over. You missed a comma on page 784 of 'War and Peace'.",A,,,,
601,['Why does the cactus have legs?'],"A) I thought you said it wouldn't need much attention.
B) Sheriff Arpaio, we're joggers, not Mexicans.",A,,,,
592,"['What are the people in lab coats studying about the birds?', 'Are the birds using the laptop computers?']","A) Take away the computers and they’re just sitting ducks.
B) The price of monkeys has gone through the roof.",A,,,,
223,['Why are the people inside the washers?'],"A) Would you be interested in joining our book club?
B) Be careful, these machines are self-loading.",B,,,,
61,['What kind of treatment is the hand getting?'],"A) No matter what, Larry always found time for a quick curveball.
B) Take three thousand Tylenol and call me in the morning.",B,,,,
312,['What is he saying to the lion?'],"A) The release is conditional, but all you have to do is participate in an identical twins study.
B) I know this seems weird, but even as a cub I could feel the rush of Wall Street racing through my veins.",B,,,,
552,"['How is the man in the boat able to row through sand?', 'What is the man on all fours saying?']","A) Are you trying to make me look bad?
B) Actually, we're in the same boat.",B,,,,
691,['Why are there snowmen staring into the house?'],"A) WebMD says that it's not a side effect.
B) Great, now they all want a scarf.",B,,,,
148,['What was the crime that was committed?'],"A) It’s always a problem for us when a crime is committed on Halloween.
B) OK lady, which one of these mugs made you eat that third dessert?",A,,,,
333,['Where is the man from?'],"A) Take the commission, Hon, and you can paint full time.
B) These anthropologists have the strangest customs.",A,,,,
534,['Why are they carrying a huge snake?'],"A) Speak softly and carry a big fish.
B) How badly do we want to win?",A,,,,
563,['Why is the man running on a hamster wheel?'],"A) Honey, is the Tesla recharged yet?
B) Hamster help desk, to whom am I speaking?",A,,,,
153,['What are the dancers doing there?'],"A) Will you be needing any musical accompaniment?
B) Overruled, counseler. This is sweeps week.",B,,,,
562,['What would these animals have to say to one another?'],"A) It could work. We both like worms.
B) I'm looking for a new school.",A,,,,
714,"[""Why isn't the cat jumping off?""]","A) At that moment Willow was consumed with three thoughts: she couldn't swim,they were on their third drink,and she was on her ninth life.
B) I have to admit being mildly disappointed when the resort manager told me this was the Exotic Cat Experience they advertised.",A,,,,
596,['Is the lady going to die?'],"A) Man, it's dead in here tonight.
B) No, thanks—I prefer spirits.",B,,,,
353,['Why are the people working in there?'],"A) When you promised I'd be the center of your life, this isn't what I had in mind.
B) Can't you just ignore the polls on this one and go with your instinct?",B,,,,
178,['Did he mean to escape to a bar?'],"A) Most men drink to escape. I escape to drink.
B) What did you call it again? A GPS?",A,,,,
740,['Why is there a bull in a china shop?'],"A) I tend to complicate simple things.
B) He came in with the coup last week.",A,,,,
523,['Why are there monkeys in a house?'],"A) When I asked for the Complete Works of Shakespeare for my birthday this is not what I had in mind.
B) Then maybe you should just tell me what you want for your birthday instead of saying you don't care.",B,,,,
326,['What is their conversation like?'],"A) You’re right. Maybe sometimes a sea cucumber is just a sea cucumber.
B) I think we'll skip the ink blot test, and go right to your mother.",A,,,,
742,"['Why did the man decide to do his cooking in the museum?', 'What is the man yelling at the guy on the left?']","A) The Benefactors are in the other room
B) Fine, but no flash photography.",B,,,,
308,"['Why is the caveman eating a rock?', 'Which food does the caveman think the rock it?']","A) I'd kill for some cream cheese.
B) Major improvement over the square ones.",A,,,,
466,['Why are they under the table?'],"A) If we can't see him, he can't see us.
B) Alright, folks, it’s crunch time.",B,,,,
223,['How did the people end up in the washing machines?'],"A) When the music stops, nobody knows.
B) I liked my old spin class better.",B,,,,
443,['When do they plan to get started?'],"A) I don't get modern art.
B) A strike sends us home early.",B,,,,
522,['Why is he experimenting on the man?'],"A) Have you tried turning it off and back on again?
B) The Vice Presidential selection committee is upstairs.",A,,,,
380,['Did Noah goof?'],"A) I say we review the Process Flow Diagram.
B) I wouldn't say ‘favorite�?animal...",B,,,,
339,['Why is Superman taking the plane?'],"A) I have to warn you, I don't exactly have a bladder of steel.
B) It's definitely slower but my frequent flier miles were expiring.",A,,,,
388,['How did the golfer end up in a hospital room?'],"A) Sorry, but I have to play it where it lies.
B) No, a swing doctor isn't covered under Obamacare.",A,,,,
538,['How did the man get so small?'],"A) Suddenly, I realize naming you 'Fluffy' may have been a misnomer.
B) Think it over. I'm still the only one here who can use a can opener.",B,,,,
534,['Why are they bringing a snake to work?'],"A) Speak softly and carry a big fish.
B) How badly do we want to win?",A,,,,
570,['Why are the birds all over the man?'],"A) You might want to rethink your ringtone
B) That's why I don't eat granola in public.",A,,,,
740,['Why is there a bull in a China shop inspecting a glass?'],"A) Of all the china shops in all the towns in all the world, he walks into mine.
B) Once I clarified what ""break time"" meant we haven't had any issues.",B,,,,
381,"['Why does the woman feel her children are such burdens?', 'Did Sisyphus have children?']","A) It gets easier the second time.
B) Still haven't thought of a name?",A,,,,
588,['Why is he up there?'],"A) Apparently we have tbe same ring tone.
B) Siri, how far can a hunchback jump?",B,,,,
738,['Why is the UFO taking the leaves?'],"A) Can't wait to see the look on his face when we put these back on the tree.
B) We'll see why they collect them, spread them, burn them, or give them to the truck.",A,,,,
654,"['What caused the soup to take that shape?', 'What is the man saying to the waiter?']","A) And a Hurricane to drink, please.
B) Cancel the molten lava cake.",B,,,,
508,['What did the shark do?'],"A) You are looking for a loan shark, not a lone shark.
B) Can we make this quick? I gotta keep moving.",B,,,,
592,['What does a duck need to learn?'],"A) Each one is a graduate of the Trump Hunt and Peck University.
B) The answer to number seven? I can't even turn this thing on.",B,,,,
518,"[""Why is there a drunk man in a kid's sandbox?""]","A) Should we tell him we found his car keys 2 hours ago?
B) Our AirBnB guests just love the ""extreme conditions"" package.",A,,,,
417,['What are the two men arguing about?'],"A) Why does this never happen on the way to work?
B) I told you we should have taken the verrazano.",A,,,,
614,['Why is the man playing a piano on a mountain?'],"A) Would have been easier to catch me at the Garden.
B) The public is saying your latest work is inaccessible.",B,,,,
597,['Did boy decide to hide in the suitcase?'],"A) Oh, we're not traveling. Our new health plan only covers X-rays done by TSA screening.
B) I told him he was acting like a child and wasn't pulling his weight in our relationship.",A,,,,
404,"[""Why is this man's reflection Abe Lincoln?""]","A) I look like five bucks.
B) He says he wants to talk to you",A,,,,
78,['How did the couple end up in the same cell together?'],"A) I don't care how others view our marriage.
B) How about we just stay in tonight?",B,,,,
741,['Why is the moon winking?'],"A) When the moon's in the sky like a big winking eye, that's emoji.
B) I'm beginning to regret eating the mushrooms we found on our hike",A,,,,
689,['Why did the knight pierce a car door?'],"A) It says inflate the front to 32 psi and the back to 35.
B) It used to be chivalrous to open doors for people.",B,,,,
495,['Are the cleaning crew dangerous?'],"A) I move for less transparency.
B) They're known as the wrecking crew.",A,,,,
546,['Why are the dolphins doing this?'],"A) I knew they were smart. I didn't know they were sarcastic.
B) It's all fun and games until somebody gets hurt.",A,,,,
523,['Why are the monkeys there?'],"A) I don't mind the monkey see as much as the monkey doo.
B) The stager says this is how we'll sell the house.",A,,,,
753,['Why is there a whale shopping for groceries?'],"A) Oh I'm sorry, maybe I'd move faster if SOMEONE didn't bite my leg off.
B) After having 'caught' his white whale, Ahab quickly settled into domesticity.",A,,,,
186,['Who wrote down these Commandments?'],"A) And for you goats—thou shalt not marry a dragon or ox.
B) I also picked up the Szechuan Sinai menu on my way down",A,,,,
501,['What is up with the weird emblems?'],"A) I just think it sends the wrong message.
B) We're definitely in the same boat",A,,,,
62,['Why is the man letting himself be treated like a horse?'],"A) She's the new kindler, gentler CEO.
B) This new M.B.A. crop is so hard to break.",B,,,,
755,['Why is there a woman in modern clothes sitting in a cave with a caveman?'],"A) The restroom is just down the hall and anywhere you want.
B) What does that mean? You wear the pants in the family?",A,,,,
383,['Why is that area on fire?'],"A) They didn't qualify for HARP.
B) I see Wall Street is hiring again!",B,,,,
145,['Why is the monster on the building?'],"A) It appears that even the window washers are using steroids.
B) Yeah, I know there's no ledge but that's beside the point.",A,,,,
234,['Why is the skeleton horse there?'],"A) This is the last time I park on this side of town!
B) You sure looked a lot better in the show room.",A,,,,
742,['What is he cooking?'],"A) I could've made that!
B) Rare works only!",A,,,,
533,['Why are they having a dinner in the middle of the station?'],"A) Our chef trained at the Paris Metro.
B) The usual for you and Mrs. Zizmore?",A,,,,
112,"['Why is there a huge gun here?', 'What are the creatures looking in the barrel?']","A) No problem with concealed weapons.
B) So this is what killed the dinosaurs.",B,,,,
733,['Why are the wolves in suits?'],"A) I counted way less of them in my sleep.
B) It seems you promised them herd immunity, Sir.",B,,,,
509,['What are the salmon saying to the bear?'],"A) How badly do you want children?
B) May I recommend the trout?",B,,,,
689,['Why did the knight pierce a car door?'],"A) I take it you're not buying my door prize story.
B) I only glanced down at my phone for a second.",B,,,,
529,"[""Why is the man scaling a mountain that isn't there?""]","A) I get it -- you think you're too good for a metaphor!
B) Of course I understand the gravity of the situation.",B,,,,
711,['Why are they playing baseball in a living room?'],"A) I built it and they came...
B) 3rd month, nobody out.",B,,,,
265,['Why are the chefs working on the car instead of cooking?'],"A) Any of you guys an accountant?
B) They only want the starter.",B,,,,
707,['Why is there a man carrying the globe here?'],"A) I'm not bringing work home anymore.
B) Would it help if I call you a hero?",A,,,,
549,['Are they in an asylum?'],"A) Well, this is bound to be interesting.
B) Above all, we value restraint.",B,,,,
178,['How did the man break out of jail?'],"A) The MapQuest directions were really good.
B) If anybody calls, I'm not here.",B,,,,
346,['What type of elections would angels have?'],"A) Have you been waiting long?
B) He’s pro-afterlife.",B,,,,
733,['Why are the wolves in suits?'],"A) If I tell you how many I'll pass out.
B) 'They don't like wolves in cheap clothing.'",B,,,,
151,['Why are the pencil sharpener and pencils so huge?'],"A) They're from the Claes Oldenburg for Target collection.
B) But I have to warn you, carpal tunnel here is a bitch.",B,,,,
376,"['Why is the woman sleeping with a model of the US Capitol in her bed?', 'What is the woman saying?']","A) You were filibustering in your sleep again.
B) I like when you say it in French - L'etat c'est moi",A,,,,
232,['Why is someone playing chess by themselves at the table?'],"A) No, sorry, the extroverts club meets on Tuesdays.
B) What makes you think we found your cat story boring?",B,,,,
334,['Why is the man wearing his baggage?'],"A) Thank goodness for random patdowns.
B) And the worst part is this isn't my luggage.",B,,,,
358,['Why is she taking the couch?'],"A) You won't need the loveseat.
B) Well I have to go, my ride is here.",B,,,,
393,"['Why are these men standing on clouds holding/throwing lightning bolts?', ""Why is one man dressed in a suit and the other isn't?""]","A) Hey! My last day isn't until Friday.
B) Business school changed you, Son.",B,,,,
207,['Why is his leg like that?'],"A) Don’t worry, it gets easier.
B) Ummm... can I lead this one?",A,,,,
531,['What are they talking about?'],"A) Would you like to watch a documentary about human evolution?
B) Sorry I'm late. I hit every traffic light coming home.",B,,,,
716,['Why is everyone in the kitchen booby-trapped and locked up?'],"A) I don't know about you, but I'm thinking takeout
B) I should never have married a Houdini.",A,,,,
449,"['Why is the man laying a brick wall through the house?', 'What is the man saying to woman?']","A) Which kid do you want?
B) I'm taking up graffiti.",A,,,,
402,['Why are there cave paintings of deer on the grass?'],"A) How do I tell he from she eh?
B) Me thought Ugg just bad artist.",B,,,,
679,['Why is the king surrounded by cacti pots?'],"A) All Gardeners dress like this.
B) My liege, Albuquerque is yours.",B,,,,
708,['Why is a knight in the kitchen?'],"A) Does this make me look middle aged?
B) Technically, I did grab a plate.",A,,,,
743,"[""How is the lion eating the man's head when it's dead?""]","A) Still not level.
B) I see dead people.",A,,,,
236,['What are they talking about?'],"A) Dr. Ogden just called to say your mercury levels are on the high side.
B) Nobody ever expected the Little Mermaid to take out the trash.",A,,,,
539,"['How can the hiker defy gravity?', 'What is the other hiker saying?']","A) They say he has great gravitas.
B) Now THAT'S the road less traveled!",B,,,,
